"","code_com","popnum"
"1565","095",5412
"1566","251",4831
"1567","117",4131
"1568","263",4813
"1569","150",2862
"1570","223",2140
"1571","002",5222
"1572","574",4922
"1573","107",4706
"1574","505",1837
"1575","643",4447
"1576","201",5155
"1577","083",4872
"1578","349",548
"1579","149",4599
"1580","330",4510
"1581","120",4638
"1582","075",599
"1583","453",2193
"1584","155",1596
"1585","254",5448
"1586","582",2597
"1587","026",5484
"1588","419",4896
"1589","558",5124
"1590","051",1431
"1591","329",2779
"1592","062",3342
"1593","158",5185
"1594","216",5396
"1595","129",137
"1596","220",3507
"1597","493",1837
"1598","031",953
"1599","669",3139
"1600","069",5139
"1601","099",5559
"1602","141",1127
"1603","003",4105
"1604","522",2895
"1605","789",2347
"1606","112",2972
"1607","072",3441
"1608","724",2386
"1609","501",3401
"1610","643",1711
"1611","002",4566
"1612","251",2937
"1613","180",4553
"1614","085",3363
"1615","014",768
"1616","238",3612
"1617","113",321
"1618","016",3556
"1619","795",1236
"1620","262",4507
"1621","266",3589
"1622","400",650
"1623","106",4869
"1624","235",4790
"1625","043",1207
"1626","163",1809
"1627","201",2574
"1628","224",1406
"1629","217",4355
"1630","524",4325
"1631","070",2517
"1632","405",2517
"1633","172",1678
"1634","471",1696
"1635","152",1748
"1636","290",3499
"1637","197",5484
"1638","192",3969
"1639","009",1171
"1640","141",4944
"1641","033",5554
"1642","086",3083
"1643","066",4265
"1644","276",4176
"1645","691",5191
"1646","446",1539
"1647","125",418
"1648","015",1298
"1649","136",5409
"1650","445",4820
"1651","037",2987
"1652","253",4805
"1653","047",3762
"1654","213",1762
"1655","202",1893
"1656","337",3027
"1657","325",2777
"1658","184",1682
"1659","247",3025
"1660","561",5229
"1661","107",327
"1662","093",817
"1663","064",338
"1664","255",418
"1665","387",5484
"1666","358",5489
"1667","404",1361
"1668","310",987
"1669","069",1593
"1670","255",5366
"1671","337",4643
"1672","004",99
"1673","027",1907
"1674","071",3679
"1675","204",938
"1676","398",110
"1677","209",713
"1678","287",4105
"1679","180",4834
"1680","021",4522
"1681","299",1920
"1682","559",3454
"1683","369",2506
"1684","448",5412
"1685","384",819
"1686","055",75
"1687","317",4247
"1688","223",1793
"1689","218",177
"1690","210",2522
"1691","492",4225
"1692","551",5279
"1693","100",4105
"1694","210",85
"1695","085",3665
"1696","035",4727
"1697","155",1240
"1698","755",4861
