"","cod_dept","area","pop"
"971","87","2393","1754"
"972","43","1805","266"
"973","49","1567","16025"
"974","03","1800","1064"
"975","28","1672","1504"
"976","79","2784","757"
"977","26","1442","969"
"978","76","500","803"
"979","69","595","4007"
"980","62","408","374"
"981","85","4696","5002"
"982","38","442","1874"
"983","86","1753","4617"
"984","50","1752","556"
"985","47","687","569"
"986","62","970","399"
"987","08","1020","108"
"988","17","1093","7811"
"989","50","995","13104"
"990","13","2312","4557"
"991","02","405","64"
"992","22","1238","1114"
"993","22","931","3022"
"994","55","1143","462"
"995","17","2812","3031"
"996","58","2153","406"
"997","07","389","139"
"998","67","399","549"
"999","88","484","74"
"1000","09","867","242"
"1001","07","2058","212"
"1002","32","1284","124"
"1003","21","523","43"
"1004","75","604","199519"
"1005","69","2051","1399"
"1006","64","600","201"
"1007","03","3138","566"
"1008","06","8641","673"
"1009","65","604","975"
"1010","87","1432","857"
"1011","29","937","861"
"1012","10","339","187"
"1013","33","753","1760"
"1014","60","985","3207"
"1015","79","1913","189"
"1016","80","462","31"
"1017","01","1019","1353"
"1018","17","1206","401"
"1019","67","515","1337"
"1020","52","1583","209"
"1021","85","2070","412"
"1022","94","458","4699"
"1023","77","1425","17500"
"1024","24","2032","321"
"1025","43","1404","311"
"1026","49","7980","11873"
"1027","32","3271","317"
"1028","37","3281","619"
"1029","70","1364","442"
"1030","08","2125","2013"
"1031","14","1385","1397"
"1032","64","356","69"
"1033","73","1946","331"
"1034","88","744","969"
"1035","60","525","160"
"1036","39","941","707"
"1037","58","852","69"
"1038","58","2581","241"
"1039","64","320","521"
"1040","33","891","3096"
"1041","39","522","451"
"1042","41","1540","207"
"1043","55","2544","251"
"1044","03","2649","933"
"1045","71","820","570"
"1046","43","2047","282"
"1047","58","445","4620"
"1048","45","502","214"
"1049","70","932","135"
"1050","57","2572","2744"
"1051","84","3241","2747"
"1052","26","3679","61767"
"1053","80","732","512"
"1054","46","3550","1640"
"1055","35","5786","1818"
"1056","71","416","225"
"1057","15","1941","93"
"1058","03","2597","210"
"1059","51","813","51"
"1060","71","461","311"
"1061","52","666","96"
"1062","40","3260","123"
"1063","2A","3577","1368"
"1064","62","950","2320"
"1065","46","317","123"
"1066","03","2024","290"
"1067","10","865","553"
"1068","11","2147","421"
"1069","24","2751","347"
"1070","27","539","777"
"1071","39","286","94"
"1072","45","1174","673"
"1073","51","1115","433"
"1074","61","760","194"
"1075","79","1769","797"
"1076","66","2786","1297"
"1077","72","1119","217"
"1078","80","901","608"
"1079","11","669","41"
"1080","23","2586","221"
"1081","27","745","512"
"1082","25","380","142"
"1083","2A","1906","3734"
"1084","50","439","88"
"1085","02","1349","885"
"1086","67","2116","1503"
"1087","21","1735","162"
"1088","94","1144","89989"
"1089","72","729","161"
"1090","02","349","496"
"1091","16","740","719"
"1092","11","447","60"
"1093","82","2267","562"
"1094","02","581","1478"
"1095","33","318","1157"
"1096","50","1735","561"
"1097","63","917","910"
"1098","62","243","141"
"1099","65","624","4713"
"1100","62","1058","940"
"1101","25","582","238"
"1102","13","3836","3448"
"1103","26","631","249"
"1104","55","1079","114"
"1105","34","1622","160"
"1106","21","523","119"
"1107","27","256","109"
"1108","24","2777","163"
